u_id,user_id
0,2673290
1,2921218
2,3329288
3,4279835
4,4325698
5,7992128
6,8227374
7,9114643
8,10324165
9,10349270
10,10960243
11,11504351
12,12751012
13,12976158
14,13724188
15,20255861
16,20545251
17,20988641
18,23420611
19,25751672
20,25773912
21,38017362
22,41293532
23,42239972
24,45256202
25,47485982
26,50268712
27,66237262
28,66946902
29,90847232
30,95271572
31,102324712
32,102755282
33,116414092
34,117887652
35,129316932
36,131966912
37,137325202
38,139013772
39,141991632
40,541147
41,593460
42,1323625
43,2037595
44,2188549
45,2263078
46,2291113
47,2545911
48,2963279
49,3098621
50,3561233
51,3703525
52,4128633
53,4294391
54,4735223
55,4843680
56,4854101
57,5054329
58,5323479
59,5346143
60,5393084
61,5501432
62,5515551
63,5654329
64,6264688
65,6892386
66,7247993
67,7314241
68,7788458
69,7789997
70,7919641
71,7983735
72,8060393
73,8061576
74,8111274
75,8286830
76,8375256
77,8475482
78,8517444
79,8520845
80,8607679
81,8648106
82,8697045
83,8769181
84,9037656
85,9075635
86,9201955
87,9576420
88,9699887
89,9830857
90,9844295
91,9879550
92,9966599
93,10018684
94,10052672
95,10082191
96,10154176
97,10188335
98,10220654
99,10308660
100,10475915
101,10595603
102,10676271
103,10906805
104,11110053
105,11114372
106,11188210
107,11188325
108,11303855
109,11556682
110,11881050
111,11934040
112,12023855
113,12101341
114,12205996
115,12214538
116,12304052
117,12354854
118,12479439
119,12487576
120,12516967
121,12712354
122,12751642
123,12753159
124,12756498
125,12850364
126,12886924
127,12897537
128,12914658
129,13134990
130,13289334
131,13530818
132,13604091
133,13851857
134,13890189
135,13919360
136,13963303
137,14409375
138,14494400
139,14615536
140,15349091
141,15687471
142,20257851
143,21762701
144,22462061
145,22833881
146,23016661
147,23171591
148,24459942
149,24533182
150,24548092
151,25433262
152,25864772
153,26854612
154,27035702
155,27063162
156,31497842
157,32627192
158,33119592
159,33637402
160,33761692
161,36357902
162,39105432
163,40135342
164,41013092
165,41189992
166,42846162
167,43184992
168,43225482
169,45441882
170,47283442
171,47716422
172,48759662
173,49107722
174,49824312
175,50614952
176,51506492
177,52202112
178,52315492
179,52667042
180,54181182
181,54393802
182,55281912
183,57994672
184,58030842
185,59795032
186,61565842
187,66846062
188,67405632
189,67603582
190,69435042
191,69891282
192,71040512
193,72497002
194,74372122
195,75461432
196,75621912
197,76887562
198,79405412
199,79680902
200,79985002
201,81139592
202,82927122
203,87313992
204,88202552
205,90031892
206,90875412
207,91683752
208,93311492
209,94187172
210,97814902
211,98629492
212,99206382
213,101359032
214,102231852
215,103865572
216,104459322
217,104566192
218,106138552
219,106439962
220,109222262
221,109831122
222,110052292
223,110427152
224,112220362
225,116409942
226,118187212
227,122493312
228,122571712
229,123262702
230,124115752
231,124490682
232,125415642
233,126634932
234,126666212
235,134194592
236,134573692
237,139451292
238,139842672
239,141074822
240,133129
241,416202
242,965544
243,1386688
244,2470495
245,2636590
246,2704062
247,2847756
248,3108249
249,3341736
250,3576739
251,3857045
252,3919766
253,3966526
254,3979624
255,3982054
256,3998836
257,4341732
258,4425847
259,4491434
260,4656481
261,5648870
262,5847938
263,5984345
264,5998716
265,6106562
266,6155725
267,6180398
268,6236506
269,6490261
270,6608509
271,6685812
272,6866724
273,6874829
274,6899342
275,7050366
276,7137857
277,7198259
278,7418940
279,7658406
280,7878283
281,7926761
282,7978522
283,8193138
284,8296940
285,8371614
286,8475890
287,8562534
288,8562861
289,8611357
290,8653530
291,8885125
292,9289603
293,9597972
294,9613384
295,9677316
296,9698201
297,9723699
298,9854324
299,9868712
300,9903664
301,10013593
302,10030700
303,10162434
304,10182054
305,10188648
306,10189792
307,10261908
308,10345370
309,10371182
310,10387523
311,10548934
312,10751269
313,10816653
314,11057185
315,11177911
316,11181365
317,11315497
318,11329688
319,11435123
320,11567038
321,11627292
322,11887311
323,12049451
324,12129781
325,12252094
326,12322124
327,12413298
328,12509135
329,12568796
330,12772652
331,13012350
332,13173243
333,13199661
334,13255211
335,13299329
336,13357613
337,14024763
338,14187604
339,14236310
340,14341336
341,14421517
342,14508970
343,14625855
344,15558521
345,17434581
346,18055261
347,19729361
348,20023861
349,20236481
350,20397091
351,20438651
352,21651261
353,22065231
354,22176361
355,22594561
356,24859122
357,25571032
358,26945732
359,27402172
360,29612022
361,30045182
362,30147762
363,31924812
364,33429272
365,39853162
366,40245232
367,40633652
368,41587702
369,43145842
370,43237252
371,43319402
372,45462372
373,45542162
374,48774002
375,50220042
376,50429292
377,50916692
378,51166002
379,52204532
380,55213032
381,55688852
382,56055862
383,56161792
384,56472102
385,57316572
386,58251092
387,58417722
388,60146662
389,61704882
390,64548162
391,64734912
392,65045612
393,68216342
394,68455462
395,71809142
396,74036142
397,77947422
398,78910792
399,79005592
400,79642412
401,79899472
402,81540632
403,81688562
404,81898952
405,82018402
406,82149332
407,83176342
408,85420322
409,85449202
410,87528752
411,90217962
412,91076892
413,91269522
414,91555962
415,92084652
416,101174372
417,103296662
418,104737992
419,105258802
420,105593742
421,106077102
422,106507822
423,107067992
424,113863212
425,115360492
426,115476392
427,116051702
428,118244832
429,120811342
430,121549462
431,123773822
432,126099942
433,129001922
434,129290762
435,132483872
436,133146992
437,135533592
438,138936072
439,139322462
440,1553420
441,1931407
442,1950912
443,1988629
444,2191997
445,2242034
446,2597560
447,2626808
448,2709541
449,2921855
450,3461184
451,3509452
452,3594118
453,4117352
454,4172523
455,4223736
456,4280099
457,4289086
458,4340170
459,4346931
460,4489454
461,4605993
462,4631058
463,4673399
464,5001865
465,5058300
466,5152824
467,5898240
468,5979793
469,6309708
470,6742048
471,7455565
472,7664610
473,7679557
474,7694328
475,7763602
476,7865600
477,8206385
478,8341126
479,8369825
480,8472226
481,8515083
482,8633037
483,8804591
484,8808390
485,8830157
486,9278173
487,9312009
488,9374029
489,9510598
490,9609840
491,9743544
492,9989507
493,9998883
494,10018998
495,10027820
496,10209984
497,10213539
498,10222174
499,10226237
500,10280157
501,10286708
502,10429183
503,10504160
504,10815869
505,10833107
506,10855857
507,10941560
508,10943501
509,10976885
510,11097736
511,11145778
512,11147454
513,11195082
514,11245696
515,11462887
516,11627410
517,11670587
518,11705377
519,12011438
520,12014918
521,12084758
522,12479321
523,12538211
524,12647912
525,12690030
526,12695365
527,12831182
528,13125069
529,13148827
530,13186578
531,13195631
532,13239166
533,13369565
534,13410275
535,13557613
536,13573735
537,13645724
538,13658116
539,13824542
540,13856448
541,14120421
542,14155365
543,14201748
544,14345791
545,14358368
546,16703221
547,17434041
548,19276861
549,20539571
550,21552281
551,21667201
552,22280791
553,23212231
554,24503872
555,26021322
556,26327172
557,26337042
558,26847642
559,27171962
560,30002952
561,31856922
562,33066182
563,33106922
564,34586002
565,34606782
566,35042702
567,35646202
568,36260852
569,36882372
570,37626382
571,38552162
572,39047142
573,39326202
574,39492382
575,42279352
576,42920872
577,42966712
578,43090422
579,43163642
580,43298932
581,43361082
582,45934212
583,47665312
584,48255112
585,48795922
586,50692372
587,51207112
588,52321292
589,52632942
590,52776012
591,53197732
592,53742402
593,54150462
594,54277042
595,54564292
596,54705892
597,55121752
598,56094282
599,57548482
600,60688292
601,61973572
602,62654152
603,65804582
604,66422602
605,66816062
606,66824142
607,67356072
608,68928632
609,69366792
610,69999642
611,71843432
612,73151242
613,73698012
614,74687152
615,75057752
616,80660752
617,85259892
618,89182442
619,91737782
620,92548662
621,95598232
622,97915632
623,99670832
624,101185672
625,110069262
626,114048792
627,116049002
628,118228692
629,118772942
630,123946562
631,124073542
632,124368032
633,124811852
634,125511192
635,125965302
636,127401882
637,127889312
638,137857682
639,141030442
640,646636
641,954951
642,971997
643,1119185
644,1514354
645,2318528
646,2430920
647,2566417
648,2658417
649,2861093
650,2905055
651,2907635
652,3141037
653,3301559
654,3351683
655,3435928
656,3583136
657,3771413
658,4157289
659,4187519
660,4387972
661,4569741
662,5047371
663,5230382
664,5761916
665,5962307
666,6325774
667,6353765
668,6674798
669,6780099
670,7162796
671,7177963
672,7178660
673,7369293
674,7376160
675,7464840
676,7468451
677,7595810
678,7671180
679,7771046
680,7925912
681,7938790
682,8075029
683,8188570
684,8231893
685,8295787
686,8317521
687,8602243
688,8638142
689,8815275
690,8886865
691,8978691
692,9303005
693,9348137
694,9564314
695,9572964
696,9598657
697,9709153
698,9838171
699,10024474
700,10042065
701,10046015
702,10098723
703,10119258
704,10340560
705,10466098
706,10510735
707,10559080
708,11155286
709,11231084
710,11263686
711,11293757
712,11361912
713,11585472
714,11693513
715,11810670
716,11818987
717,11899633
718,11933799
719,12011403
720,12044603
721,12182552
722,12487831
723,12639094
724,12670118
725,12702350
726,12780809
727,12886478
728,13016653
729,13022811
730,13156632
731,13169012
732,13304167
733,13310852
734,13328753
735,13352441
736,13372872
737,13514766
738,13595129
739,14029225
740,14049003
741,14132262
742,14227363
743,14234418
744,14267576
745,14271322
746,14353392
747,14646667
748,14661199
749,15136011
750,15169701
751,15233331
752,15251811
753,15334631
754,15787961
755,16133501
756,18343781
757,22191451
758,23500711
759,24941252
760,25023712
761,25919142
762,26055412
763,27738652
764,30133612
765,31529472
766,32344792
767,34248752
768,38393952
769,38837592
770,41447832
771,41479912
772,42467902
773,42559612
774,42850752
775,43070172
776,44780462
777,44982432
778,49091502
779,49404792
780,50047612
781,50803232
782,51294532
783,52548222
784,52561752
785,52644642
786,54541072
787,55794652
788,55928032
789,58028732
790,59478292
791,60853702
792,61038562
793,62256072
794,64392442
795,65475912
796,66536252
797,67133812
798,69598752
799,71615802
800,73829242
801,74037832
802,74160282
803,77934562
804,78272012
805,81206442
806,81760442
807,86701892
808,87317342
809,89530402
810,91093062
811,92848822
812,93344142
813,94584462
814,95582392
815,96461962
816,96541422
817,100009692
818,100053862
819,102105692
820,102642532
821,102976292
822,103544342
823,105157032
824,107445462
825,108605722
826,110061502
827,116313562
828,118182482
829,118323482
830,118965082
831,120273552
832,125490982
833,127447282
834,127980552
835,129586362
836,131159342
837,131940652
838,134612092
839,142373622
840,684613
841,1235285
842,1437064
843,1927173
844,2304491
845,2493451
846,2608352
847,3349416
848,3407384
849,3768118
850,3794553
851,3809224
852,3897259
853,4221694
854,4233303
855,4584102
856,4665146
857,4716638
858,5227014
